year,naics,wage
1993,2381,22640.590765785226
1993,2382,29748.240296969125
1993,2383,23043.157732123174
1993,2389,25420.174706844315
1993,3111,29784.99920690712
1993,3112,36714.072536656895
1993,3113,27839.99051166438
1993,3114,24496.389173038944
1993,3115,29225.50779187665
1993,3116,20162.12017765771
1993,3117,20305.714806534823
1993,3118,23128.63710840215
1993,3119,28156.189770700545
1993,3121,33594.48108387643
1993,3122,40875.401882621765
1993,3131,21035.012288673643
1993,3132,23623.044999788035
1993,3133,24762.95370475434
1993,3141,19810.83217595263
1993,3149,19724.948365007578
1993,3151,18171.17226883427
1993,3152,15717.919824822064
1993,3159,18344.930395427324
1993,3161,26568.072311454824
1993,3162,17970.667272503233
1993,3169,19534.757909415763
1993,3211,25317.658297307575
1993,3212,25379.426194065378
1993,3219,21900.550537510153
1993,3221,43204.081978168855
1993,3222,31188.678853818197
1993,3231,28175.393045559067
1993,3241,48175.434286209784
1993,3251,48239.217601874276
1993,3252,41631.05712778108
1993,3253,40239.952903035664
